index;A;B;C;D;E;F;G;H;I;J;K;L;M;N
1;240;240;240;240;240;210;90;80;140;240;240;240;240;240
2;240;240;240;240;160;20;10;10;40;40;240;240;240;240
3;240;240;240;90;20;110;160;10;10;20;20;240;240;240
4;240;240;110;10;90;240;240;210;140;40;10;190;240;240
5;240;240;80;20;140;210;210;210;210;90;90;80;240;240
6;240;240;40;20;110;190;210;210;210;190;190;10;240;240
7;240;90;70;20;90;190;80;40;110;110;40;10;240;240
8;240;90;160;70;80;140;130;70;140;70;40;110;240;240
9;240;160;130;210;90;190;190;190;210;190;90;160;240;240
10;240;240;90;210;70;90;190;190;130;130;90;190;240;240
11;240;240;140;70;80;80;130;130;190;60;90;240;240;240
12;240;190;140;130;70;90;190;130;110;20;80;240;240;240
13;190;160;140;110;90;70;90;90;110;60;80;240;240;240
14;190;160;140;40;160;80;20;10;20;10;130;240;240;240
15;190;160;140;20;70;255;110;80;90;130;130;240;240;240
16;110;20;140;20;10;20;10;20;80;110;20;190;240;240
17;80;10;140;10;20;10;20;10;20;20;10;10;40;210
18;80;20;140;20;10;20;10;90;80;40;40;10;10;40